PO_Number,PO_Line_Number,PO_Date,PO_Fiscal_Year,PO_Type,PO_Line_Spend,PO_Line_Currency,PO_Line_Item,PO_Line_Unit_Price,PO_Line_Qty,PO_Line_UoM,PO_Line_Vendor,PO_Line_L4_Category,PO_Line_L2_Category,PO_Line_L1_Category,PO_Payment_Term,PO_Line_BU,PO_Line_L3_Category
1.,1_1,03-25-2013,2012-2013,Goods,$1793.33,USD,Wall mount,$100.33,1.,Each,"Better Presentation Systems, Inc.",Wall mount bracket,Hardware,Manufacturing Components and Supplies,NET 45 DAYS,Parks & Recreation,Brackets and braces
1.,1_7,03-25-2013,2012-2013,NON-IT Goods,$700.52,USD,Subwoofer system,$700.52,1.,Each,"Better Presentation Systems, Inc.",Surface mount device,Industrial process machinery and equipment and supplies,Industrial Manufacturing and Processing Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Assembly machines
1.,1_12,03-25-2013,2012-2013,NON-IT Goods,$120.00,USD,Cable,$40.00,3.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
1.,1_17,03-25-2013,2012-2013,NON-IT Goods,$134.67,USD,Antenna splitter,$134.67,1.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
1.,1_23,03-25-2013,2012-2013,NON-IT Goods,"$1,685.34",USD,Wireless Microphone,$842.67,2.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
2.,2_1,05-26-2015,2014-2015,NON-IT Services,"$108,965,042.00",USD,Amend to correct contract number to 12-2043 in SCPRS  and add fundsfor FY 14/15.  [Orig. CDPH provides nutrition education servicesthrough it's Network for a Healthy California],"$108,965,042.00",1.,Each,CALIFORNIA DEPARTMENT OF PUBLIC HEALTH,Community outreach programs,Public order and safety,National Defense and Public Order and Security and Safety Services,NET 45 DAYS,Social Services,Police services
4.,4_2,03-26-2014,2013-2014,IT Services,"$235,718.40",USD,Task 3 - Technical Support and M & O (Year 4),"$235,718.40",1.,Each,PALANTIR TECHNOLOGY INC,Data base management system software,Software,Information Technology Broadcasting and Telecommunications,Unspecified,Corrections and Rehabilitation,Data management and query software
4.,4_8,03-26-2014,2013-2014,IT Services,"$235,718.40",USD,Task 3 - Technical Support and M & O (Year 3),"$235,718.40",1.,Each,PALANTIR TECHNOLOGY INC,Data base management system software,Software,Information Technology Broadcasting and Telecommunications,Unspecified,Corrections and Rehabilitation,Data management and query software
5.,5_5,03-25-2014,2013-2014,NON-IT Goods,$380.40,USD,Pin Lug,$126.80,3.,Each,Grainger Industrial Supply,Barbed wire,Rope and chain and cable and wire and strap,Manufacturing Components and Supplies,NET 45 DAYS,Fish and Wildlife,Security wire
5.,5_10,03-25-2014,2013-2014,NON-IT Goods,$34.24,USD,Cement,$17.12,2.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_16,03-25-2014,2013-2014,NON-IT Goods,$179.08,USD,"Interior Paint, Semi-Gloss",$179.08,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_21,03-25-2014,2013-2014,NON-IT Goods,$4.56,USD,"Tee, PVC, Sch 40",$2.28,2.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_26,03-25-2014,2013-2014,NON-IT Goods,$159.06,USD,"Sealer, Crystal Clear",$159.06,1.,Each,Grainger Industrial Supply,Engine oil,Lubricants and oils and greases and anti corrosives,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,NET 45 DAYS,Fish and Wildlife,Lubricating preparations
5.,5_32,03-25-2014,2013-2014,NON-IT Goods,$218.24,USD,Kitchen Faucet,$218.24,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_37,03-25-2014,2013-2014,NON-IT Goods,$351.90,USD,Utility Cart,$175.95,2.,Each,Grainger Industrial Supply,Shower head,Plumbing fixtures,Structures and Building and Construction and Manufacturing Components and Supplies,NET 45 DAYS,Fish and Wildlife,"Faucet and shower heads, jets and parts and accessories"
5.,5_42,03-25-2014,2013-2014,NON-IT Goods,"$2,261.70",USD,Portable PA System,"$2,261.70",1.,Each,Grainger Industrial Supply,Portable stereo systems,Consumer electronics,Domestic Appliances and Supplies and Consumer Electronic Products,NET 45 DAYS,Fish and Wildlife,Audio and visual equipment
5.,5_48,03-25-2014,2013-2014,NON-IT Goods,$192.08,USD,"Pre and Post Filter, Revers Osmosis",$48.02,4.,Each,Grainger Industrial Supply,Wire mesh fabric or cloth,Fabrics and leather materials,Mineral and Textile and Inedible Plant and Animal Materials,NET 45 DAYS,Fish and Wildlife,Specialty fabrics or cloth
5.,5_53,03-25-2014,2013-2014,NON-IT Goods,$6.20,USD,Compress Spring,$6.20,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_58,03-25-2014,2013-2014,NON-IT Goods,$3.70,USD,Dry Erase Buffet Sign,$3.70,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_64,03-25-2014,2013-2014,NON-IT Goods,$4.52,USD,RTV Silicone,$4.52,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_69,03-25-2014,2013-2014,NON-IT Goods,$12.32,USD,Full-Flow Lube/ Hydraulic,$6.16,2.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_74,03-25-2014,2013-2014,NON-IT Goods,$372.00,USD,Fire Hose Cover,$124.00,3.,Each,Grainger Industrial Supply,Fire hoses or nozzles,Fire protection,Defense and Law Enforcement and Security and Safety Equipment and Supplies,NET 45 DAYS,Fish and Wildlife,Fire fighting equipment
