PO_Number,PO_Line_Number,PO_Date,PO_Fiscal_Year,PO_Type,PO_Line_Spend,PO_Line_Currency,PO_Line_Item,PO_Line_Unit_Price,PO_Line_Qty,PO_Line_UoM,PO_Line_Vendor,PO_Line_L4_Category,PO_Line_L2_Category,PO_Line_L1_Category,PO_Payment_Term,PO_Line_BU,PO_Line_L3_Category
332.,332_4,08-05-2013,2012-2013,IT Services,"$2,200.00",USD,ACL Desktop Edition STND Non-Unicode Standalone      BILL 4100/41115 (1115 Waiver),$440.00,5.,Each,ACL Services Ltd.,Inventory management software,Software,Information Technology Broadcasting and Telecommunications,NET 30 DAYS,Managed Health Care,Business function specific software
334.,334_1,03-06-2014,2013-2014,NON-IT Services,"$8,200.00",USD,TAA,"$8,200.00",1.,Each,American Career College,Re training or refreshing training services,Vocational training,Education and Training Services,NET 60 DAYS,Employment Development Department,In service training and manpower development
336.,336_1,10-05-2013,2012-2013,NON-IT Services,$-,USD,TRUCK,$-,1.,Each,A-1 WATER AND DUMP TRUCKS,Water trucks,Motor vehicles,Commercial and Military and Private Vehicles and their Accessories and Components,NET 45 DAYS,Forestry and Fire Protection,Product and material transport vehicles
337.,337_3,04-06-2014,2013-2014,IT Services,"$1,177.60",USD,Software - data,$588.80,2.,Each,Taborda Solutions,Maintenance or support fees,Computer services,Engineering and Research and Technology Based Services,NET 45 DAYS,Teacher Credentialing,Software maintenance and support
338.,338_4,05-14-2013,2012-2013,NON-IT Goods,"$52,809.80",USD,"ASQ-SE Starter Kit, English",$148.76,355.,Each,Brookes Publishing,Multi-media educational software,Software,Information Technology Broadcasting and Telecommunications,PCARD,Education,Educational or reference software
340.,340_1,05-14-2013,2012-2013,NON-IT Goods,$375.00,USD,Debris removal,$375.00,1.,Each,Systems & Space Inc,Storage racks or shelves,Material handling machinery and equipment,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,NET 30 DAYS,Library,Shelving and storage
340.,340_5,05-14-2013,2012-2013,NON-IT Goods,"$9,403.76",USD,Cantilevered Welded Frame w/3 Sprd,$229.36,41.,Each,Systems & Space Inc,Storage racks or shelves,Material handling machinery and equipment,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,NET 30 DAYS,Library,Shelving and storage
341.,341_1,05-06-2014,2013-2014,NON-IT Services,"$162,914.00",USD,APSI  CM Services for HCFIP CCI project,"$162,914.00",1.,Each,APSI Construction Management,Architectural engineering,Professional engineering services,Engineering and Research and Technology Based Services,NET 30 DAYS,Corrections and Rehabilitation,Civil engineering
345.,345_1,05-15-2013,2012-2013,NON-IT Goods,"$49,590.00",USD,Dry fish food,"$49,590.00",1.,Each,"Nelson & Sons, Inc",Fish food pellets,Animal feed,Live Plant and Animal Material and Accessories and Supplies,NET 60 DAYS,Fish and Wildlife,Fish food
351.,351_1,05-16-2013,2012-2013,NON-IT Goods,"$2,501.07",USD,"1 30 EA 1121F SAM SPLINT 4.5X36 (12530) 8.51 255.30  2 2 Box 1626W 4X4X3/4 TEGADERM50/BX(22122) 136.85 273.70  3 2 Box 1628 6X8 TEGADERM 10/BX(22123) 161.00 322.00  4 30 EA REUSE 11 1SC ADULTR 1 TU BP CUFF (12187) 16.8 504.00  5 8 Box HOL3804 CENTER POINT 2-3/4 P 2""ST (22203 25.96 207.68  6 8 Box HOL3704 UROSTOMY WAFER 2-3/4 (22204) 24.68 197.44  7 4 CS 2213122062DISP EXPLIR ONE WAY VAL(22192) 61.4 245.60  8 5 CS 86-302E NASAL CANNULA STAND STR (22184) 20.59 102.95  9 10 CS 2009101-003p ge medical silver plus rest 39.24 392.40","$2,501.07",1.,Each,"TAGG Industries, Inc.",Emergency medical services air splints,Emergency and field medical services products,Medical Equipment and Accessories and Supplies,NET 60 DAYS,Correctional Health Care Services,Emergency medical services extricating and immobilizing and transporting products
