Date,Vendor,Spend Category,Spend Amount
11/20/2021,iCore,Cleaning,45000
11/21/2021,JeevanBichar,Health,121000
11/22/2021,LIC-Nabin,Insurance,34000
11/23/2021,ABC,Simply -1,21212
11/24/2021,ABC1,Simply -2,65767
11/25/2021,ABC2,Simply -3,7979
11/26/2021,ABC3,Simply -4,98798
11/27/2021,ABC4,Simply -5,75790
11/29/2021,8768jhgg,khkk,9779
11/30/2021,ABC123,AAA,10000
11/30/2021,123ABC,XXX,21313
11/20/2021,iCore,Cleaning,45000
11/21/2021,JeevanBichar,Health,121000
11/22/2021,LIC-Nabin,Insurance,34000
11/23/2021,ABC,Simply -1,21212
11/24/2021,ABC1,Simply -2,65767
11/25/2021,ABC2,Simply -3,7979
11/26/2021,ABC3,Simply -4,98798
11/27/2021,ABC4,Simply -5,75790
11/29/2021,8768jhgg,khkk,9779
11/30/2021,ABC123,AAA,10000
11/30/2021,123ABC,XXX,21313
11/20/2021,iCore,Cleaning,45000
11/21/2021,JeevanBichar,Health,121000
11/22/2021,LIC-Nabin,Insurance,34000
11/23/2021,ABC,Simply -1,21212
11/24/2021,ABC1,Simply -2,65767
11/25/2021,ABC2,Simply -3,7979
11/26/2021,ABC3,Simply -4,98798
11/27/2021,ABC4,Simply -5,75790
11/29/2021,8768jhgg,khkk,9779
11/30/2021,ABC123,AAA,10000
11/30/2021,123ABC,XXX,21313
11/20/2021,iCore,Cleaning,45000
11/21/2021,JeevanBichar,Health,121000
11/22/2021,LIC-Nabin,Insurance,34000
11/23/2021,ABC,Simply -1,21212
11/24/2021,ABC1,Simply -2,65767
11/25/2021,ABC2,Simply -3,7979
11/26/2021,ABC3,Simply -4,98798
11/27/2021,ABC4,Simply -5,75790
11/29/2021,8768jhgg,khkk,9779
11/30/2021,ABC123,AAA,10000
11/30/2021,123ABC,XXX,21313
12/1/2021,123ABC,XXX,21314
12/2/2021,123ABC,XXX,21315
12/3/2021,123ABC,XXX,21316
12/4/2021,123ABC,XXX,21317
12/5/2021,123ABC,XXX,21318
12/6/2021,123ABC,XXX,21319
12/7/2021,123ABC,XXX,21320
12/8/2021,123ABC,XXX,21321
12/9/2021,123ABC,XXX,21322
12/10/2021,123ABC,XXX,21323
12/11/2021,123ABC,XXX,21324
12/12/2021,123ABC,XXX,21325
12/13/2021,123ABC,XXX,21326
12/14/2021,123ABC,XXX,21327
12/15/2021,123ABC,XXX,21328
12/16/2021,123ABC,XXX,21329
12/17/2021,123ABC,XXX,21330
12/18/2021,123ABC,XXX,21331
12/19/2021,123ABC,XXX,21332
12/20/2021,123ABC,XXX,21333
12/21/2021,123ABC,XXX,21334
12/22/2021,123ABC,XXX,21335
12/23/2021,123ABC,XXX,21336
12/24/2021,123ABC,XXX,21337
12/25/2021,123ABC,XXX,21338
12/26/2021,123ABC,XXX,21339
12/27/2021,123ABC,XXX,21340
12/28/2021,123ABC,XXX,21341
12/29/2021,123ABC,XXX,21342
12/30/2021,123ABC,XXX,21343
12/31/2021,123ABC,XXX,21344
1/1/2022,123ABC,XXX,21345
1/2/2022,123ABC,XXX,21346
1/3/2022,123ABC,XXX,21347
1/4/2022,123ABC,XXX,21348
1/5/2022,123ABC,XXX,21349
1/6/2022,123ABC,XXX,21350
1/7/2022,123ABC,XXX,21351
1/8/2022,123ABC,XXX,21352
1/9/2022,123ABC,XXX,21353
1/10/2022,123ABC,XXX,21354
1/11/2022,123ABC,XXX,21355
1/12/2022,123ABC,XXX,21356
1/13/2022,123ABC,XXX,21357
1/14/2022,123ABC,XXX,21358
1/15/2022,123ABC,XXX,21359
1/16/2022,123ABC,XXX,21360
1/17/2022,123ABC,XXX,21361
1/18/2022,123ABC,XXX,21362
1/19/2022,123ABC,XXX,21363
1/20/2022,123ABC,XXX,21364
1/21/2022,123ABC,XXX,21365
1/22/2022,123ABC,XXX,21366
1/23/2022,123ABC,XXX,21367
1/24/2022,123ABC,XXX,21368
1/25/2022,123ABC,XXX,21369
1/26/2022,123ABC,XXX,21370
1/27/2022,123ABC,XXX,21371
1/28/2022,123ABC,XXX,21372
1/29/2022,123ABC,XXX,21373
1/30/2022,123ABC,XXX,21374
1/31/2022,123ABC,XXX,21375
2/1/2022,123ABC,XXX,21376
2/2/2022,123ABC,XXX,21377
2/3/2022,123ABC,XXX,21378
2/4/2022,123ABC,XXX,21379
2/5/2022,123ABC,XXX,21380
2/6/2022,123ABC,XXX,21381
2/7/2022,123ABC,XXX,21382
2/8/2022,123ABC,XXX,21383
2/9/2022,123ABC,XXX,21384
2/10/2022,123ABC,XXX,21385
2/11/2022,123ABC,XXX,21386
2/12/2022,123ABC,XXX,21387
2/13/2022,123ABC,XXX,21388
2/14/2022,123ABC,XXX,21389
2/15/2022,123ABC,XXX,21390
2/16/2022,123ABC,XXX,21391
2/17/2022,123ABC,XXX,21392
2/18/2022,123ABC,XXX,21393
2/19/2022,123ABC,XXX,21394
2/20/2022,123ABC,XXX,21395
2/21/2022,123ABC,XXX,21396
2/22/2022,123ABC,XXX,21397
2/23/2022,123ABC,XXX,21398
2/24/2022,123ABC,XXX,21399
2/25/2022,123ABC,XXX,21400
2/26/2022,123ABC,XXX,21401
2/27/2022,123ABC,XXX,21402
2/28/2022,123ABC,XXX,21403
3/1/2022,123ABC,XXX,21404
3/2/2022,123ABC,XXX,21405
3/3/2022,123ABC,XXX,21406
3/4/2022,123ABC,XXX,21407
3/5/2022,123ABC,XXX,21408
3/6/2022,123ABC,XXX,21409
3/7/2022,123ABC,XXX,21410
3/8/2022,123ABC,XXX,21411
3/9/2022,123ABC,XXX,21412
3/10/2022,123ABC,XXX,21413
3/11/2022,123ABC,XXX,21414
3/12/2022,123ABC,XXX,21415
3/13/2022,123ABC,XXX,21416
3/14/2022,123ABC,XXX,21417
3/15/2022,123ABC,XXX,21418
3/16/2022,123ABC,XXX,21419
3/17/2022,123ABC,XXX,21420
3/18/2022,123ABC,XXX,21421
3/19/2022,123ABC,XXX,21422
3/20/2022,123ABC,XXX,21423
3/21/2022,123ABC,XXX,21424
3/22/2022,123ABC,XXX,21425
3/23/2022,123ABC,XXX,21426
3/24/2022,123ABC,XXX,21427
3/25/2022,123ABC,XXX,21428
3/26/2022,123ABC,XXX,21429
3/27/2022,123ABC,XXX,21430
3/28/2022,123ABC,XXX,21431
3/29/2022,123ABC,XXX,21432
3/30/2022,123ABC,XXX,21433
3/31/2022,123ABC,XXX,21434
4/1/2022,123ABC,XXX,21435
4/2/2022,123ABC,XXX,21436
4/3/2022,123ABC,XXX,21437
4/4/2022,123ABC,XXX,21438
4/5/2022,123ABC,XXX,21439
4/6/2022,123ABC,XXX,21440
4/7/2022,123ABC,XXX,21441
4/8/2022,123ABC,XXX,21442
4/9/2022,123ABC,XXX,21443
4/10/2022,123ABC,XXX,21444
4/11/2022,123ABC,XXX,21445
4/12/2022,123ABC,XXX,21446
4/13/2022,123ABC,XXX,21447
4/14/2022,123ABC,XXX,21448
4/15/2022,123ABC,XXX,21449
4/16/2022,123ABC,XXX,21450
4/17/2022,123ABC,XXX,21451
4/18/2022,123ABC,XXX,21452
4/19/2022,123ABC,XXX,21453
4/20/2022,123ABC,XXX,21454
4/21/2022,123ABC,XXX,21455
4/22/2022,123ABC,XXX,21456
4/23/2022,123ABC,XXX,21457
4/24/2022,123ABC,XXX,21458
4/25/2022,123ABC,XXX,21459
4/26/2022,123ABC,XXX,21460
4/27/2022,123ABC,XXX,21461
4/28/2022,123ABC,XXX,21462
4/29/2022,123ABC,XXX,21463
4/30/2022,123ABC,XXX,21464
5/1/2022,123ABC,XXX,21465
5/2/2022,123ABC,XXX,21466
5/3/2022,123ABC,XXX,21467
5/4/2022,123ABC,XXX,21468
5/5/2022,123ABC,XXX,21469
5/6/2022,123ABC,XXX,21470
5/7/2022,123ABC,XXX,21471
5/8/2022,123ABC,XXX,21472
5/9/2022,123ABC,XXX,21473
5/10/2022,123ABC,XXX,21474
5/11/2022,123ABC,XXX,21475
5/12/2022,123ABC,XXX,21476
5/13/2022,123ABC,XXX,21477
5/14/2022,123ABC,XXX,21478
5/15/2022,123ABC,XXX,21479
5/16/2022,123ABC,XXX,21480
5/17/2022,123ABC,XXX,21481
5/18/2022,123ABC,XXX,21482
5/19/2022,123ABC,XXX,21483
5/20/2022,123ABC,XXX,21484
5/21/2022,123ABC,XXX,21485
5/22/2022,123ABC,XXX,21486
5/23/2022,123ABC,XXX,21487
5/24/2022,123ABC,XXX,21488
5/25/2022,123ABC,XXX,21489
5/26/2022,123ABC,XXX,21490
5/27/2022,123ABC,XXX,21491
5/28/2022,123ABC,XXX,21492
5/29/2022,123ABC,XXX,21493
5/30/2022,123ABC,XXX,21494
5/31/2022,123ABC,XXX,21495
6/1/2022,123ABC,XXX,21496
6/2/2022,123ABC,XXX,21497
6/3/2022,123ABC,XXX,21498
6/4/2022,123ABC,XXX,21499
6/5/2022,123ABC,XXX,21500
6/6/2022,123ABC,XXX,21501
6/7/2022,123ABC,XXX,21502
6/8/2022,123ABC,XXX,21503
6/9/2022,123ABC,XXX,21504
6/10/2022,123ABC,XXX,21505
6/11/2022,123ABC,XXX,21506
6/12/2022,123ABC,XXX,21507
6/13/2022,123ABC,XXX,21508
6/14/2022,123ABC,XXX,21509
6/15/2022,123ABC,XXX,21510
6/16/2022,123ABC,XXX,21511
6/17/2022,123ABC,XXX,21512
6/18/2022,123ABC,XXX,21513
6/19/2022,123ABC,XXX,21514
6/20/2022,123ABC,XXX,21515
6/21/2022,123ABC,XXX,21516
6/22/2022,123ABC,XXX,21517
6/23/2022,123ABC,XXX,21518
6/24/2022,123ABC,XXX,21519
6/25/2022,123ABC,XXX,21520
6/26/2022,123ABC,XXX,21521
6/27/2022,123ABC,XXX,21522
6/28/2022,123ABC,XXX,21523
6/29/2022,123ABC,XXX,21524
6/30/2022,123ABC,XXX,21525
7/1/2022,123ABC,XXX,21526
7/2/2022,123ABC,XXX,21527
7/3/2022,123ABC,XXX,21528
7/4/2022,123ABC,XXX,21529
7/5/2022,123ABC,XXX,21530
7/6/2022,123ABC,XXX,21531
7/7/2022,123ABC,XXX,21532
7/8/2022,123ABC,XXX,21533
7/9/2022,123ABC,XXX,21534
7/10/2022,123ABC,XXX,21535
7/11/2022,123ABC,XXX,21536
7/12/2022,123ABC,XXX,21537
7/13/2022,123ABC,XXX,21538
7/14/2022,123ABC,XXX,21539
7/15/2022,123ABC,XXX,21540
7/16/2022,123ABC,XXX,21541
7/17/2022,123ABC,XXX,21542
7/18/2022,123ABC,XXX,21543
7/19/2022,123ABC,XXX,21544
7/20/2022,123ABC,XXX,21545
7/21/2022,123ABC,XXX,21546
7/22/2022,123ABC,XXX,21547
7/23/2022,123ABC,XXX,21548
7/24/2022,123ABC,XXX,21549
7/25/2022,123ABC,XXX,21550
7/26/2022,123ABC,XXX,21551
7/27/2022,123ABC,XXX,21552
7/28/2022,123ABC,XXX,21553
7/29/2022,123ABC,XXX,21554
7/30/2022,123ABC,XXX,21555
7/31/2022,123ABC,XXX,21556
8/1/2022,123ABC,XXX,21557
8/2/2022,123ABC,XXX,21558
8/3/2022,123ABC,XXX,21559
8/4/2022,123ABC,XXX,21560
8/5/2022,123ABC,XXX,21561
8/6/2022,123ABC,XXX,21562
8/7/2022,123ABC,XXX,21563
8/8/2022,123ABC,XXX,21564
8/9/2022,123ABC,XXX,21565
8/10/2022,123ABC,XXX,21566
8/11/2022,123ABC,XXX,21567
8/12/2022,123ABC,XXX,21568
8/13/2022,123ABC,XXX,21569
8/14/2022,123ABC,XXX,21570
8/15/2022,123ABC,XXX,21571
8/16/2022,123ABC,XXX,21572
8/17/2022,123ABC,XXX,21573
8/18/2022,123ABC,XXX,21574
8/19/2022,123ABC,XXX,21575
8/20/2022,123ABC,XXX,21576
8/21/2022,123ABC,XXX,21577
8/22/2022,123ABC,XXX,21578
8/23/2022,123ABC,XXX,21579
8/24/2022,123ABC,XXX,21580
8/25/2022,123ABC,XXX,21581
8/26/2022,123ABC,XXX,21582
8/27/2022,123ABC,XXX,21583
8/28/2022,123ABC,XXX,21584
8/29/2022,123ABC,XXX,21585
8/30/2022,123ABC,XXX,21586
8/31/2022,123ABC,XXX,21587
9/1/2022,123ABC,XXX,21588
9/2/2022,123ABC,XXX,21589
9/3/2022,123ABC,XXX,21590
9/4/2022,123ABC,XXX,21591
9/5/2022,123ABC,XXX,21592
9/6/2022,123ABC,XXX,21593
9/7/2022,123ABC,XXX,21594
9/8/2022,123ABC,XXX,21595
9/9/2022,123ABC,XXX,21596
9/10/2022,123ABC,XXX,21597
9/11/2022,123ABC,XXX,21598
9/12/2022,123ABC,XXX,21599
9/13/2022,123ABC,XXX,21600
9/14/2022,123ABC,XXX,21601
9/15/2022,123ABC,XXX,21602
9/16/2022,123ABC,XXX,21603
9/17/2022,123ABC,XXX,21604
9/18/2022,123ABC,XXX,21605
11/30/2021,123ABC,XXX,21606
12/1/2021,123ABC,XXX,21607
12/2/2021,123ABC,XXX,21608
12/3/2021,123ABC,XXX,21609
12/4/2021,123ABC,XXX,21610
12/5/2021,123ABC,XXX,21611
12/6/2021,123ABC,XXX,21612
12/7/2021,123ABC,XXX,21613
12/8/2021,123ABC,XXX,21614
12/9/2021,123ABC,XXX,21615
12/10/2021,123ABC,XXX,21616
12/11/2021,123ABC,XXX,21617
12/12/2021,123ABC,XXX,21618
12/13/2021,123ABC,XXX,21619
12/14/2021,123ABC,XXX,21620
12/15/2021,123ABC,XXX,21621
12/16/2021,123ABC,XXX,21622
12/17/2021,123ABC,XXX,21623
12/18/2021,123ABC,XXX,21624
12/19/2021,123ABC,XXX,21625
12/20/2021,123ABC,XXX,21626
12/21/2021,123ABC,XXX,21627
12/22/2021,123ABC,XXX,21628
12/23/2021,123ABC,XXX,21629
12/24/2021,123ABC,XXX,21630
12/25/2021,123ABC,XXX,21631
12/26/2021,123ABC,XXX,21632
12/27/2021,123ABC,XXX,21633
12/28/2021,123ABC,XXX,21634
12/29/2021,123ABC,XXX,21635
12/30/2021,123ABC,XXX,21636
12/31/2021,123ABC,XXX,21637
1/1/2022,123ABC,XXX,21638
1/2/2022,123ABC,XXX,21639
1/3/2022,123ABC,XXX,21640
1/4/2022,123ABC,XXX,21641
1/5/2022,123ABC,XXX,21642
1/6/2022,123ABC,XXX,21643
1/7/2022,123ABC,XXX,21644
1/8/2022,123ABC,XXX,21645
1/9/2022,123ABC,XXX,21646
1/10/2022,123ABC,XXX,21647
1/11/2022,123ABC,XXX,21648
1/12/2022,123ABC,XXX,21649
1/13/2022,123ABC,XXX,21650
1/14/2022,123ABC,XXX,21651
1/15/2022,123ABC,XXX,21652
